org_id,realcode,total_amount,record_count,org_total_amount,org_total_records,share_amount,share_records
00bfc618,J7300,3053825.0,441,3155678.0,450,0.9677238932489309,0.98
00bfc618,Z9600,101853.0,9,3155678.0,450,0.032276106751069025,0.02
00c036c1,F2700,367537.0,103,368037.0,104,0.9986414409420792,0.9903846153846154
00c036c1,Y4000,500.0,1,368037.0,104,0.0013585590579208069,0.009615384615384616
00c0546f,J1100,500.0,2,608732.0,644,0.0008213795233370351,0.003105590062111801
00c0546f,M2400,8500.0,6,608732.0,644,0.013963451896729595,0.009316770186335404
00c0546f,T2200,599732.0,636,608732.0,644,0.9852151685799334,0.9875776397515528
00c21a30,F4100,3452906.0,828,3478206.0,834,0.9927261352547836,0.9928057553956835
00c21a30,F4600,10000.0,1,3478206.0,834,0.0028750453538404566,0.001199040767386091
00c21a30,J5200,7600.0,3,3478206.0,834,0.0021850344689187473,0.0035971223021582736
00c21a30,Y4000,5000.0,1,3478206.0,834,0.0014375226769202283,0.001199040767386091
00c21a30,Z9600,2700.0,1,3478206.0,834,0.0007762622455369234,0.001199040767386091
00c4c19c,C2100,66400.0,120,1978671.0,3220,0.03355787798982246,0.037267080745341616
00c4c19c,C5000,1147773.0,1471,1978671.0,3220,0.5800726851507906,0.45683229813664594
00c4c19c,D3000,248530.0,346,1978671.0,3220,0.1256045092893159,0.10745341614906832
00c4c19c,E1320,497632.0,1250,1978671.0,3220,0.2514981015034839,0.38819875776397517
00c4c19c,F1400,17150.0,16,1978671.0,3220,0.008667433848274928,0.004968944099378882
00c4c19c,J1100,360.0,10,1978671.0,3220,0.00018194030235445913,0.003105590062111801
00c4c19c,J7150,650.0,2,1978671.0,3220,0.0003285033236955512,0.0006211180124223603
00c4c19c,Z9600,176.0,5,1978671.0,3220,8.894859226218002e-05,0.0015527950310559005
00c64226,H4300,613890.0,270,3001232.0,4165,0.20454599977609195,0.06482593037214886
00c64226,H4500,2316092.0,3831,3001232.0,4165,0.7717137495535167,0.9198079231692677
00c64226,J7400,24800.0,38,3001232.0,4165,0.008263273215799378,0.009123649459783913
00c64226,J7500,200.0,2,3001232.0,4165,6.663930012741435e-05,0.0004801920768307323
00c64226,Z9600,41250.0,22,3001232.0,4165,0.013744355651279207,0.005282112845138055
00c64226,z9600,5000.0,2,3001232.0,4165,0.0016659825031853585,0.0004801920768307323
00c6a754,F3100,177085.0,224,399655.0,518,0.44309466915214374,0.43243243243243246
